City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Turbat,PK,89.58,overcast clouds,26.0023,63.044,Mubashar Quarters
5,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
12,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Atuona,PF,78.21,clear sky,-9.8,-139.0333,Villa Enata
17,Bengkulu,ID,82.04,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
19,Ballina,AU,75.38,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
20,San Patricio,US,82.26,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
23,Bilma,NE,82.13,clear sky,18.6853,12.9164,Expeditions Ténére voyages
31,Georgetown,MY,85.95,light rain,5.4112,100.3354,Cititel Penang
36,Hobyo,SO,78.04,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
37,Manthani,IN,81.48,broken clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
38,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
40,Laguna,US,80.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
45,Goundam,ML,86.02,scattered clouds,16.4145,-3.6708,
54,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
56,Pokaran,IN,83.61,overcast clouds,26.9167,71.9167,Motel Pokaran - RTDC
62,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
65,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
75,Airai,TL,83.21,scattered clouds,-8.9266,125.4092,Juvinal Martin
89,Matara,LK,80.1,light rain,5.9485,80.5353,Amaloh Boutique Resort
93,Butaritari,KI,82.33,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
96,San Joaquin,US,80.64,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
98,Morvi,IN,79.68,broken clouds,22.8167,70.8333,Mahesh Hotel & Restaurant
100,Faanui,PF,79.2,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,San Policarpo,PH,84.06,light rain,12.1791,125.5072,Manong Aklan Resort
104,Kudat,MY,84.29,light rain,6.8837,116.8477,Dream Garden Hotel
108,Sao Filipe,CV,79.2,broken clouds,14.8961,-24.4956,Hotel Xaguate
111,Catazaja,MX,78.98,clear sky,17.725,-92.0167,BNB CHIAPAS
115,Kanigoro,ID,84.81,broken clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
118,Dingle,PH,86.32,light rain,10.9995,122.6711,SEGAYA PROPERTY
