,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Turbat,PK,26.0023,63.044,89.58,48,92,5.37,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,42.46,49,20,18.41,few clouds
2,Sambava,MG,-14.2667,50.1667,67.82,85,7,8.48,clear sky
3,Kenai,US,60.5544,-151.2583,45.03,57,75,23.02,broken clouds
4,Nouadhibou,MR,20.931,-17.0347,71.58,88,59,13.8,broken clouds
5,Hilo,US,19.7297,-155.09,81.28,89,90,5.75,light rain
6,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,light rain
7,Albany,US,42.6001,-73.9662,50.36,94,99,4.21,overcast clouds
8,Busselton,AU,-33.65,115.3333,60.04,80,100,13.15,light rain
9,Castro,BR,-24.7911,-50.0119,56.34,96,21,5.12,few clouds
10,Zaltan,LY,32.947,11.8665,74.41,66,0,8.05,clear sky
11,Chuy,UY,-33.6971,-53.4616,59.16,93,100,14.2,light rain
12,Kapaa,US,22.0752,-159.319,84.18,70,75,4.0,broken clouds
13,Atuona,PF,-9.8,-139.0333,78.21,72,5,16.91,clear sky
14,Bredasdorp,ZA,-34.5322,20.0403,58.32,94,100,9.22,light rain
15,Pakpattan,PK,30.341,73.3866,91.26,45,0,3.78,clear sky
16,Nome,US,64.5011,-165.4064,35.67,56,20,16.11,few clouds
17,Bengkulu,ID,-3.8004,102.2655,82.04,68,96,5.01,light rain
18,Sept-Iles,CA,50.2001,-66.3821,41.52,91,90,5.01,overcast clouds
19,Ballina,AU,-28.8667,153.5667,75.38,73,40,9.22,moderate rain
20,San Patricio,US,28.017,-97.5169,82.26,76,80,10.94,broken clouds
21,Uusikaupunki,FI,60.8004,21.4084,48.72,91,97,17.6,overcast clouds
22,Isla Vista,US,34.4133,-119.861,74.25,50,1,4.61,clear sky
23,Bilma,NE,18.6853,12.9164,82.13,18,0,17.98,clear sky
24,Luneburg,DE,53.25,10.4,54.16,81,100,11.74,overcast clouds
25,East London,ZA,-33.0153,27.9116,61.72,88,3,8.88,clear sky
26,Tasiilaq,GL,65.6145,-37.6368,33.96,78,6,6.87,clear sky
27,Qaanaaq,GL,77.484,-69.3632,28.76,95,100,15.57,snow
28,Nikolskoye,RU,59.7035,30.7861,42.69,96,51,4.94,broken clouds
29,Punta Arenas,CL,-53.15,-70.9167,41.11,65,0,10.36,clear sky
30,Mataura,NZ,-46.1927,168.8643,53.47,65,100,8.46,overcast clouds
31,Georgetown,MY,5.4112,100.3354,85.95,81,20,3.0,light rain
32,Mirnyy,RU,62.5353,113.9611,37.74,53,42,7.36,scattered clouds
33,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,75,11.5,light rain
34,Paamiut,GL,61.994,-49.6678,37.06,58,38,7.92,scattered clouds
35,Vokhma,RU,58.9303,46.7586,41.34,98,100,4.79,overcast clouds
36,Hobyo,SO,5.3505,48.5268,78.04,86,84,14.52,broken clouds
37,Manthani,IN,18.65,79.6667,81.48,82,59,2.95,broken clouds
38,Avarua,CK,-21.2078,-159.775,80.65,69,20,9.22,few clouds
39,Ancud,CL,-41.8697,-73.8203,42.33,64,100,8.21,overcast clouds
40,Laguna,US,38.421,-121.4238,80.89,33,1,3.44,clear sky
41,Hobart,AU,-42.8794,147.3294,62.11,97,90,9.22,light rain
42,Zhezkazgan,KZ,47.8043,67.7144,39.52,67,8,6.55,clear sky
43,Shimoda,JP,34.6667,138.95,66.56,90,100,33.82,heavy intensity rain
44,Snasa,NO,64.2457,12.3778,49.32,82,100,10.89,overcast clouds
45,Goundam,ML,16.4145,-3.6708,86.02,46,50,12.44,scattered clouds
46,Mont-De-Marsan,FR,44.0,-0.6667,51.78,98,0,3.44,clear sky
47,Saskylakh,RU,71.9167,114.0833,22.28,91,96,2.91,overcast clouds
48,Broome,US,42.2506,-75.833,50.9,79,1,8.05,clear sky
49,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,64,90,16.11,overcast clouds
50,Jamestown,US,42.097,-79.2353,49.08,94,1,1.01,clear sky
51,Westport,US,41.1415,-73.3579,60.94,87,1,3.0,clear sky
52,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,74,20,4.61,few clouds
53,Beringovskiy,RU,63.05,179.3167,29.34,75,74,16.33,broken clouds
54,Yulara,AU,-25.2406,130.9889,84.04,14,2,10.36,clear sky
55,Husavik,IS,66.0449,-17.3389,40.91,92,100,21.59,overcast clouds
